GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebApp,ForYouShipment.Storage,ContainerStorage,0,191,1,21,0,45,1,23,0,13
WebApp,ForYouShipment.Storage,UserStorage,0,99,0,10,0,27,0,14,0,9
WebApp,ForYouShipment.Storage,JourneyStorage,3,120,2,12,2,32,2,14,0,9
WebApp,ForYouShipment.Models,Container,7,55,0,0,3,19,2,10,2,10
WebApp,ForYouShipment.Models,LogisticsProfileModel,0,26,0,0,0,3,0,3,0,3
WebApp,ForYouShipment.Models,ClientProfileModel,0,26,0,0,0,3,0,3,0,3
WebApp,ForYouShipment.Models,Journey,0,45,0,0,0,19,0,13,0,13
WebApp,ForYouShipment.Models,UserProfileModel,0,21,0,0,0,6,0,3,0,3
WebApp,ForYouShipment.Models,ClientUserModel,0,5,0,0,0,2,0,2,0,2
WebApp,ForYouShipment.Models,ContainerMeasurements,8,60,0,0,4,9,2,5,2,5
WebApp,ForYouShipment.Models,JourneyInfo,0,69,0,0,0,14,0,5,0,5
WebApp,ForYouShipment.Models,LogisticsUserModel,0,5,0,0,0,2,0,2,0,2
WebApp,ForYouShipment.Models,UserModel,0,31,0,0,0,13,0,9,0,9
WebApp,ForYouShipment.Workers,AuthenticateUserWorker,0,48,0,10,0,8,0,7,0,2
WebApp,ForYouShipment.Workers,SecurityAccessWorker,2,130,1,41,1,23,1,27,0,4
WebApp,ForYouShipment.Workers,ContainerRegister,0,165,0,14,0,37,0,13,0,6
WebApp,ForYouShipment.Workers,IDGenerator,0,5,0,0,0,2,0,1,0,1
WebApp,ForYouShipment.Workers,ValidationWorker,0,61,0,18,0,19,0,11,0,2
WebApp,ForYouShipment.Workers,LoggingWorker,0,15,0,2,0,6,0,4,0,3
WebApp,ForYouShipment.Constants,AccessActionVerbEnum,0,84,0,0,0,9,0,1,0,1
WebApp,ForYouShipment.Constants,AccessActionNounEnum,0,94,0,0,0,10,0,1,0,1
WebApp,ForYouShipment.Constants,Port,0,301,0,4,0,30,0,9,0,7
WebApp,ForYouShipment.ClientSearch,CriteriaEmail,0,36,0,6,0,9,0,5,0,2
WebApp,ForYouShipment.ClientSearch,CriteriaLast_Name,0,36,0,6,0,9,0,5,0,2
WebApp,ForYouShipment.ClientSearch,CriteriaID,0,32,0,6,0,7,0,5,0,2
WebApp,ForYouShipment.ClientSearch,CriteriaUsername,0,32,0,6,0,7,0,5,0,2
WebApp,ForYouShipment.ClientSearch,CriteriaFirst_Name,0,36,0,6,0,9,0,5,0,2
WebApp,ForYouShipment.ClientSearch,CriteriaCompany,0,36,0,6,0,9,0,5,0,2
WebApp,ForYouShipment.Controllers,ContainerController,25,56,2,6,5,16,2,6,1,3
WebApp,ForYouShipment.Controllers,LogisticsController,0,90,0,4,0,17,0,4,0,2
WebApp,ForYouShipment.Controllers,HomeController,0,50,0,0,0,11,0,5,0,5
WebApp,ForYouShipment.Controllers,ClientController,2,312,2,30,1,63,2,21,0,7
WebApp,ForYouShipment.Controllers,LoginController,2,51,1,3,1,14,1,5,0,4
WebApp,ForYouShipment.Controllers,PortController,0,102,0,8,0,25,0,8,0,4
WebApp,ForYouShipment.Controllers,AppErrorController,11,3,0,0,3,1,2,1,2,1
WebApp,ForYouShipment.Controllers,JourneyController,0,445,1,15,0,93,1,15,0,8
WebApp,ForYouShipment.Controllers,SignupController,0,306,0,20,0,72,0,15,0,5
WebApp,ForYouShipment.Controllers,BaseController,0,26,0,0,0,7,0,3,0,3
WebApp,ForYouShipment.Search,OrCriteria,0,41,0,4,0,11,0,4,0,2
WebApp,ForYouShipment.Search,AndCriteria,0,21,0,0,0,6,0,2,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaCID,0,29,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaJID,0,29,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaUser,0,32,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaCargo,0,32,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaDestination,0,32,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaContent_Type,0,32,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaOrigin,0,32,0,4,0,7,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaJourney,0,32,0,4,0,8,0,4,0,2
WebApp,ForYouShipment.JourneySearch,CriteriaCJID,0,33,0,6,0,7,0,5,0,2
